 拎包入住,AI影音,免服務費,免管理費,南北通透,可入籍,可報稅,可短租,可開伙,可養寵物,押一付一,新上架,有車位,有陽台,有電梯,社會住宅,租金補貼,隨時可遷入,高齡友善,ping,addr,Rent,type,title,lat,lng,cluster,title_clean,title_tokens,可租補,陽台
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7.0,台北市文山區保儀路,7500,1,木柵市場旁黃金二樓｜台水台電,24.986155823055,121.567796264477,16,木柵市場旁黃金二樓 台水台電,"['木柵市場', '旁', '黃', '金二樓', ' ', '台水', '台電']",0,0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,20.0,台北市文山區忠順街一段48巷6號,19500,4,🌿文山｜忠順街｜兩房一廳｜CP值高｜近實踐國小🌿,24.98340046731,121.560126767289,4,文山 忠順街 兩房一廳 CP值高 近實踐國小,"['文山', ' ', '忠順街', ' ', '兩房', '一廳', ' ', 'CP', '值高', ' ', '近實踐', '國小']",0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,5.0,台北市文山區仙岩路16巷,16000,3,✨世新🌆景美捷運景美夜市🏡電梯獨立套房👜,24.995930297518,121.550418767767,7,世新 景美捷運景美夜市 電梯獨立套房,"['世', '新', ' ', '景美', '捷運', '景美', '夜市', ' ', '電梯', '獨立', '套房']",0,0
1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,4.0,台北市文山區指南路二段,5999,1,短租❤飲水機❤免爬高❤寵物❤近政大❤傢俱全新,24.986999971207,121.578479444041,9,短租 飲水機 免爬高 寵物 近政大 傢俱全新,"['短租', ' ', '飲水機', ' ', '免', '爬高', ' ', '寵物', ' ', '近政大', ' ', '傢', '俱全', '新']",0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3.0,台北市文山區羅斯福路六段159巷5弄,5800,1,萬隆景美小資族雅房.可短租.1.5押金.,24.997415868384,121.541452831055,11,萬隆景美小資族雅房 可短租 1 5押金,"['萬隆', '景美', '小資族', '雅房', ' ', '可短租', ' ', '1', ' ', '5', '押金']",0,0
1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,26.6,台北市文山區木柵路二段,12500,3,1.兆基🏡近中山國小🧡木柵公園❤️便宜套房❤️採光佳,24.988803942826,121.561662148876,8,1 兆基 近中山國小 木柵公園 便宜套房 採光佳,"['1', ' ', '兆基', ' ', '近', '中山', '國小', ' ', '木柵公園', ' ', '便宜', '套房', ' ', '採光佳']",0,0
1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,7.0,台北市文山區木新路三段,12500,2,寄居蟹🏠景美女中🧡寵物友善🧡可租補美套房,24.981306695261,121.55923028275,4,寄居蟹 景美女中 寵物友善 可租補美套房,"['寄居蟹', ' ', '景', '美女', '中', ' ', '寵物', '友善', ' ', '可租', '補美', '套房']",1,0
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,6.2,台北市文山區景華街82巷2弄,9100,2,兆基🏡景華公園🧡溫馨套房❤️有wifi,24.994812197981,121.545115155887,5,兆基 景華公園 溫馨套房 有wifi,"['兆基', ' ', '景華公園', ' ', '溫馨', '套房', ' ', '有', 'wifi']",0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,4.0,台北市文山區木新路二段,4500,1,"近政治大學,4樓雅房,上班族及學生優佳",24.984498757334,121.56997521775,16,近政治大學 4樓雅房 上班族及學生優佳,"['近', '政治', '大學', ' ', '4', '樓雅房', ' ', '上班族', '及學生', '優佳']",0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,11.0,台北市文山區景文街175號,11000,3,景美套房廉租近捷運站適合世新學生二人合租或三或四人小家庭,24.988921417384,121.540961210402,15,景美套房廉租近捷運站適合世新學生二人合租或三或四人小家庭,"['景美', '套房', '廉租', '近捷', '運站', '適合', '世新學生', '二人', '合租', '或', '三', '或', '四人', '小家庭']",0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.0,台北市文山區興隆路一段83巷,14500,3,English萬隆站新裝潢歐風套房更衣間,25.003392509118,121.541554602775,2,English萬隆站新裝潢歐風套房更衣間,"['English', '萬隆', '站', '新', '裝潢', '歐風', '套房', '更衣', '間']",0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,11.0,台北市文山區新光路一段,13000,1,政大門口雅靜社區大廈新美景雅房,24.990791070895,121.573696534917,6,政大門口雅靜社區大廈新美景雅房,"['政大門', '口雅靜', '社區', '大廈', '新', '美景', '雅房']",0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,5.2,台北市文山區試院路154巷2弄,8000,3,近世新，寬敞舒適套房（含第四台速網）,24.99094067669,121.547512497245,18,近世新 寬敞舒適套房 含第四台速網,"['近世', '新', ' ', '寬敞', '舒適', '套房', ' ', '含', '第四', '台速網']",0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4.0,台北市文山區木新路三段,9000,3,木新路三段獨立套房台電台水有對外窗,24.981306695261,121.55923028275,4,木新路三段獨立套房台電台水有對外窗,"['木', '新路', '三段', '獨立', '套房', '台電台', '水有', '對', '外窗']",0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.0,台北市文山區景美街,14500,2,~近景美圖書館~陽光優質房~阿智!!,24.988597579446,121.54180769673,15,近景美圖書館 陽光優質房 阿智,"['近景', '美圖', '書館', ' ', '陽光', '優質', '房', ' ', '阿智']",0,0
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,6.0,台北市文山區萬芳路26巷,20000,3,萬芳❤️近捷運站/靜巷寵物友善/免爬高/居家設備齊全,24.995843791613,121.569886166967,1,萬芳 近捷運站 靜巷寵物友善 免爬高 居家設備齊全,"['萬芳', ' ', '近捷', '運站', ' ', '靜巷', '寵物', '友善', ' ', '免', '爬高', ' ', '居家', '設備', '齊全']",0,0
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,25.0,台北市文山區福興路78巷20弄,20000,4,近捷運學區雙套房一廳可設籍,25.002843381373,121.551357871644,13,近捷運學區雙套房一廳可設籍,"['近捷', '運學區雙', '套房', '一廳', '可', '設籍']",0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7.0,台北市文山區景華街,14500,3,拎包入住＊景美捷運世新＊自租面公園,24.995427135392,121.546321015786,5,拎包入住 景美捷運世新 自租面公園,"['拎包', '入住', ' ', '景美', '捷運世新', ' ', '自租面', '公園']",0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6.0,台北市文山區辛亥路五段65號,8500,2,專門水電維修,24.998417568858,121.553435242527,7,專門水電維修,"['專門', '水電維修']",0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,5.0,台北市文山區景興路202巷,12800,1,7月入住套房配備/強大機能/獨洗曬空間,24.991844353301,121.543318253115,5,7月入住套房配備 強大機能 獨洗曬空間,"['7', '月', '入住', '套房', '配備', ' ', '強大機', '能', ' ', '獨洗', '曬', '空間']",0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,8.0,台北市文山區景興路202巷,19000,1,可實習短租女雙人/床桌椅衣櫃2套/機能讚/專用淋浴室陽台,24.991844353301,121.543318253115,5,可實習短租女雙人 床桌椅衣櫃2套 機能讚 專用淋浴室陽台,"['可實習', '短租女', '雙人', ' ', '床', '桌椅', '衣櫃', '2', '套', ' ', '機', '能', '讚', ' ', '專用', '淋浴室', '陽台']",0,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5.0,台北市文山區興隆路三段,15500,3,【近萬芳醫院捷運站|一樓全新裝潢套房出租】,24.995135557669,121.559747711824,10,近萬芳醫院捷運站 一樓全新裝潢套房出租,"['近萬芳', '醫院', '捷運站', ' ', '一樓', '全新', '裝潢', '套房', '出租']",0,0
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,4.2,台北市文山區景興路,11800,2,樂宅｜No.34	文山景興路1｜捷運景美站,24.992261135246,121.544043023281,5,樂宅 No 34 文山景興路1 捷運景美站,"['樂宅', ' ', 'No', ' ', '34', ' ', '文', '山景', '興路', '1', ' ', '捷運', '景美', '站']",0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,6.0,台北市文山區木柵路三段,12000,1,政大五分鐘生活超便利電梯雅房,24.988895012341,121.5684061769,16,政大五分鐘生活超便利電梯雅房,"['政', '大', '五分', '鐘', '生活', '超', '便利', '電梯', '雅房']",0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7.0,台北市文山區興隆路三段,12499,3,捷運萬芳醫院3分【超值租案】可補助★可養貓★獨立陽台,24.995135557669,121.559747711824,10,捷運萬芳醫院3分 超值租案 可補助 可養貓 獨立陽台,"['捷運萬芳', '醫院', '3', '分', ' ', '超值', '租案', ' ', '可補助', ' ', '可養貓', ' ', '獨立陽台']",0,1
1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,4.0,台北市文山區羅斯福路六段276巷,12300,1,景美站❤️靜巷舒適雅房❤️可租補❤️全新傢俱❤️代收垃圾,24.994687087245,121.541310161932,5,景美站 靜巷舒適雅房 可租補 全新傢俱 代收垃圾,"['景美', '站', ' ', '靜巷', '舒', '適雅房', ' ', '可租補', ' ', '全新', '傢', '俱', ' ', '代收', '垃圾']",1,0
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,4.0,台北市文山區興隆路一段55巷27弄,9700,1,Welcomeforeigners,25.004470611494,121.541987700055,2,Welcomeforeigners,['Welcomeforeigners'],0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,14.0,台北市文山區和興路,9500,1,【限女｜和興路雙捷運頂加兩房】大坪林捷運/景美捷運,24.98502852685,121.547985403669,0,限女 和興路雙捷運頂加兩房 大坪林捷運 景美捷運,"['限女', ' ', '和', '興路', '雙捷', '運頂加', '兩房', ' ', '大', '坪林', '捷運', ' ', '景美', '捷運']",0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5.0,台北市文山區興隆路三段192巷8弄48號,7500,2,興隆都是一家人,24.998051740694,121.557196873034,3,興隆都是一家人,"['興隆', '都', '是', '一家人']",0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,8.0,台北市文山區興隆路三段,17000,2,文山興隆微型公寓，超越套房空間，獨立明亮陽台，可租補,24.995135557669,121.559747711824,10,文山興隆微型公寓 超越套房空間 獨立明亮陽台 可租補,"['文山', '興隆', '微型', '公寓', ' ', '超越', '套房', '空間', ' ', '獨立', '明亮', '陽台', ' ', '可租補']",1,1
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,10.0,台北市文山區木柵路四段137號,16500,4,木柵捷運站“信義18”套房分租,24.998781888279,121.573380400228,1,木柵捷運站 信義18 套房分租,"['木柵捷', '運站', ' ', '信義', '18', ' ', '套房', '分租']",0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,14.0,台北市文山區和興路,9500,1,【限女｜和興路雙捷運頂加兩房】大坪林捷運/景美捷運,24.98502852685,121.547985403669,0,限女 和興路雙捷運頂加兩房 大坪林捷運 景美捷運,"['限女', ' ', '和', '興路', '雙捷', '運頂加', '兩房', ' ', '大', '坪林', '捷運', ' ', '景美', '捷運']",0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,11.0,台北市文山區興隆路四段145巷23弄,13800,3,安美雅靜套房.可辦租補,24.985242879443,121.562800567733,8,安美雅靜套房 可辦租補,"['安美雅靜', '套房', ' ', '可辦', '租補']",1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,8.0,台北市文山區興隆路三段,17000,2,文山興隆微型公寓，超越套房空間，獨立明亮陽台，可租補,24.995135557669,121.559747711824,10,文山興隆微型公寓 超越套房空間 獨立明亮陽台 可租補,"['文山', '興隆', '微型', '公寓', ' ', '超越', '套房', '空間', ' ', '獨立', '明亮', '陽台', ' ', '可租補']",1,1
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,4.0,台北市文山區興隆路一段55巷27弄,9700,1,Welcomeforeigners,25.004470611494,121.541987700055,2,Welcomeforeigners,['Welcomeforeigners'],0,0
1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,8.0,台北市文山區羅斯福路五段,18000,3,交通便採光佳,25.005255054602,121.5388267536,14,交通便採光佳,"['交通', '便', '採光佳']",0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.0,台北市文山區育英街8號,15000,3,景美實惠套房✨❗️（鄰近捷運站、生活機能方便）,24.991008385546,121.539135296614,15,景美實惠套房 鄰近捷運站 生活機能方便,"['景美', '實惠', '套房', ' ', '鄰近', '捷運站', ' ', '生活', '機能', '方便']",0,0
0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,6.0,台北市文山區羅斯福路六段,11000,2,小資美套房生活機能超優出站就家通風光採好,24.994496793815,121.541112282616,5,小資美套房生活機能超優出站就家通風光採好,"['小資美', '套房', '生活', '機能', '超優出', '站', '就', '家', '通風光', '採好']",0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,5.0,台北市文山區恆光街51巷,7800,1,限女性，雅房，鄰政大／戲曲學院,24.982423231811,121.568293322433,16,限女性 雅房 鄰政大 戲曲學院,"['限', '女性', ' ', '雅房', ' ', '鄰政大', ' ', '戲曲學院']",0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5.0,台北市文山區羅斯福路六段64號,8500,3,羅斯福路-萬隆站走路3分鐘-獨立套房,24.998795047867,121.540039955424,11,羅斯福路 萬隆站走路3分鐘 獨立套房,"['羅', '斯福路', ' ', '萬隆', '站', '走路', '3', '分鐘', ' ', '獨立', '套房']",0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5.0,台北市文山區興隆路三段192巷8弄48號,7500,2,興隆都是一家人,24.998051740694,121.557196873034,3,興隆都是一家人,"['興隆', '都', '是', '一家人']",0,0
